10 1.65e-04 
20 1.50e-03 
30 1.10e-04 
40 1.60e-04 
50 9.46e-05 
60 1.38e-04 
70 1.84e-04 
80 1.17e-04 
90 3.05e-04 
100 1.48e-04 
200 4.50e-04 
300 1.07e-03 
400 1.95e-03 
500  3.00e-03 
600 4.25e-03  
700 5.83e-03 
800 7.40e-03 
900 9.25e-03 
1000 1.13e-02 
2000 4.50e-02 
3000 1.02e-01 
4000 1.75e-01 
5000 2.70e-01 
6000 4.40e-01 
7000 5.04e+00 
8000 1.06e+01
